"","Loans.funded_amnt","Loans.loan_amnt","Loans.dti","Loans.emp_length","Loans.installment","Loans.annual_inc","Loans.revol_bal","earlyear","proputil","Loans.open_acc","Loans.loan_status"
"20896",20000,20000,10.01,1,616.72,145000,16297,100,25,16,"Fully Paid"
"20320",4000,4000,19.36,1,130.47,26400,2943,102,31.6,5,"Fully Paid"
"18026",5500,5500,17.81,1,118.88,50000,6813,103,54.5,9,"Fully Paid"
"6876",4800,4800,10.22,10,156.36,72000,6382,90,49.1,12,"Fully Paid"
"11107",16000,16000,12.2,2,523.75,83000,19393,104,61,11,"Fully Paid"
"10729",20000,20000,13.72,5,654.68,80000,15797,96,35.2,12,"Fully Paid"
"36942",9000,9000,15.75,1,316.42,39996,13072,101,90.2,4,"Fully Paid"
"18763",1800,1800,6.42,3,55.52,14400,113,105,1.1,6,"Fully Paid"
"22786",18000,18000,18.38,4,571.4,50000,12969,103,46.3,16,"Fully Paid"
"35817",7775,10000,13.59,4,268.53,34000,22556,103,73,6,"Fully Paid"
"31624",8500,8500,7.86,5,303.85,75000,15350,102,84,11,"Fully Paid"
"29",4000,4000,5.63,10,132.31,106000,6110,84,37.7,12,"Fully Paid"
"14603",7100,7100,5.84,2,229.07,15000,2432,106,89.3,4,"Fully Paid"
"38191",3000,3000,12.05,0,94.01,23000,710,104,7.8,7,"Fully Paid"
"2494",10000,10000,9.47,10,325.74,48000,10092,94,69.6,9,"Fully Paid"
"18958",5000,5000,12.58,10,155.05,66000,4078,93,44.8,6,"Fully Paid"
"11887",6400,9000,18.73,7,199.06,36000,2131,98,14.9,7,"Fully Paid"
"4052",15000,15000,7.92,10,469.36,65000,19059,93,69.6,6,"Fully Paid"
"28456",16000,25000,8.7,3,521.93,1e+05,22638,93,23.1,15,"Fully Paid"
"16931",16000,16000,8.06,6,367.59,68000,5871,101,30.3,20,"Fully Paid"
"25701",24000,24000,14.58,9,589.39,57600,9386,92,47.8,11,"Fully Paid"
"7236",20000,20000,4.83,4,625.81,80000,10607,103,42.8,10,"Fully Paid"
"29018",12000,12000,9.08,7,394.92,65000,22568,96,50.8,12,"Fully Paid"
"4494",12000,12000,7.06,4,265.18,85000,12670,96,43.7,6,"Fully Paid"
"26372",6000,6000,23.64,10,184.61,37000,6032,90,15.3,8,"Fully Paid"
"18655",35000,35000,21.78,3,872.48,74500,38948,86,48.4,9,"Fully Paid"
"10949",10000,10000,15.19,10,341.73,97000,58492,89,92.7,12,"Fully Paid"
"25639",4000,4000,8.19,10,92.27,55560,631,93,45.1,5,"Fully Paid"
"30167",24000,24000,10.06,10,818.5,190000,38157,83,68.8,19,"Fully Paid"
"29189",15000,15000,17.77,3,516.98,36000,4106,106,46.7,4,"Fully Paid"
"311",20000,20000,9.25,0,625.81,45000,14386,81,74.9,8,"Fully Paid"
"4871",2000,2000,5.57,5,65.15,16800,1968,107,50.5,4,"Fully Paid"
"27790",7200,7200,12.22,2,173.49,21600,6937,98,70.8,11,"Fully Paid"
"8536",10000,10000,0.88,10,311.02,67000,0,100,0,3,"Fully Paid"
"23668",7000,7000,20.2,10,134.65,66000,39184,84,26.3,15,"Fully Paid"
"28012",18500,25000,12.38,5,426.74,120000,19553,100,31.1,18,"Fully Paid"
"22329",12000,12000,7.52,6,284.41,125000,19359,97,93.6,8,"Fully Paid"
"13041",13500,13500,7.29,7,433.52,55000,8798,94,35.2,11,"Fully Paid"
"14941",3000,3000,12.48,0,78.97,360000,24981,84,36.8,26,"Fully Paid"
"1280",18000,18000,9.75,7,644.18,140000,21717,97,89.8,16,"Fully Paid"
"5562",9575,9575,26.77,1,293.99,43000,7077,102,41.9,10,"Fully Paid"
"31101",8000,8000,20.04,0,259.08,40000,12586,96,80.7,6,"Fully Paid"
"6650",17000,17000,13.02,10,366.67,34000,5228,87,15.1,6,"Fully Paid"
"17369",20000,20000,20.6,0,482.65,80640,13135,92,61.5,12,"Fully Paid"
"18465",5000,5000,11.76,0,108.99,30000,459,103,4.6,9,"Fully Paid"
"10114",20000,20000,18.44,1,502.34,55000,16835,102,67.3,13,"Fully Paid"
"24053",20000,20000,7.76,6,439.76,103000,25463,94,52.2,8,"Fully Paid"
"37723",4000,4000,17.63,0,128.04,29000,3717,96,15.1,6,"Fully Paid"
"14747",3000,3000,0.28,1,94.69,43000,239,102,3,4,"Fully Paid"
"19420",18000,18000,5.95,6,437.92,45000,7995,105,77.6,5,"Fully Paid"
"11263",14875,17000,23.48,10,469.5,51000,20706,88,46.5,10,"Fully Paid"
"19409",8000,8000,16.83,1,204.24,72000,12668,93,59.3,23,"Fully Paid"
"10958",16000,16000,19.94,10,363.97,69390,11100,93,23.7,18,"Fully Paid"
"2105",3000,3000,11.93,10,91.31,50000,631,87,5.7,6,"Fully Paid"
"16873",16000,16000,18.63,10,402.05,55000,18375,101,75,8,"Fully Paid"
"37576",6500,6500,11.23,8,213.85,24996,2083,101,28.1,14,"Fully Paid"
"7953",8000,8000,13.47,0,246.99,93000,48124,93,18.7,11,"Fully Paid"
"30657",6000,6000,14.06,0,207.88,42000,27010,101,64.5,11,"Fully Paid"
"25928",5000,5000,24.6,0,170.84,32000,6303,100,77.8,6,"Fully Paid"
"32604",3000,3000,10.19,3,101.91,1e+05,4041,105,87.8,5,"Fully Paid"
"9763",8500,8500,19.31,10,278.24,38400,9992,80,38.6,11,"Fully Paid"
"12496",13150,13150,16.55,6,319.72,81500,39904,91,75,8,"Fully Paid"
"38107",9000,9000,14.45,8,292.06,36120,4551,103,25.3,7,"Fully Paid"
"33095",4800,4800,6.06,10,168.76,98000,72289,96,97.2,10,"Fully Paid"
"3490",11200,11200,19.38,10,384.26,46000,12566,98,72.2,12,"Fully Paid"
"27733",4500,4500,11.02,10,110.2,145000,23261,87,79.4,15,"Fully Paid"
"33345",13000,13000,9.81,4,428.59,75000,14132,101,67.6,19,"Fully Paid"
"15439",11000,11000,27.54,1,353.04,39996,7572,103,32.2,14,"Fully Paid"
"29872",18000,18000,1.84,5,579.79,85000,39132,99,0.4,11,"Fully Paid"
"24656",9000,9000,9.68,10,278.48,48000,11638,97,35.3,8,"Fully Paid"
"3382",20000,20000,2.2,3,686.18,234000,4147,96,17.9,6,"Fully Paid"
"10674",7425,8000,19.8,6,225.85,30000,21019,94,42,7,"Fully Paid"
"4907",19850,19850,17.94,10,506.77,65000,12289,99,76.8,15,"Fully Paid"
"25646",4800,4800,14.89,1,149.34,27000,4181,103,46.5,7,"Fully Paid"
"38032",10000,10000,18.2,2,338.1,66000,12008,95,54.2,9,"Fully Paid"
"19736",15250,15250,21.26,1,522.47,38272,11440,93,26.9,13,"Fully Paid"
"19358",15000,15000,7.85,4,395.25,92500,9626,94,88.3,9,"Fully Paid"
"21731",6250,6250,12.24,1,201.65,54000,1200,97,15.4,10,"Fully Paid"
"6379",15000,15000,10.1,10,514.64,34800,9582,101,86.3,4,"Fully Paid"
"17329",30000,30000,26.76,10,735.94,140004,61783,87,77.3,14,"Fully Paid"
"2763",6400,6400,19.78,3,211.69,62502,29069,98,70,17,"Fully Paid"
"511",10000,10000,13.46,10,343.09,75000,19535,95,71.3,9,"Fully Paid"
"5385",5000,5000,13.93,10,165.38,170000,4617,97,62.4,13,"Fully Paid"
"21952",6400,6400,20.99,0,207.6,39500,3353,105,74.5,10,"Fully Paid"
"29897",13000,13000,17.85,7,406.65,40000,8817,90,22.7,12,"Fully Paid"
"25997",4000,4000,22.53,0,123.07,24000,782,94,12.4,5,"Fully Paid"
"35926",16750,16750,8.56,4,560.56,60000,25409,91,38.1,6,"Fully Paid"
"9497",7000,7000,15.42,10,232.47,130000,1577,96,11.8,15,"Fully Paid"
"36471",5000,5000,3.73,0,175.79,47998,3218,104,42.9,4,"Fully Paid"
"104",7200,7200,6.12,6,232.02,135000,16627,97,79.6,7,"Fully Paid"
"1787",10000,10000,17.51,10,335.45,98000,24978,102,91.5,12,"Fully Paid"
"20081",12000,12000,14.25,2,374.16,63000,7157,101,57.7,6,"Fully Paid"
"2064",10000,10000,19.74,8,325.74,39870,6768,91,36.8,8,"Fully Paid"
"9929",5000,5000,6.6,5,157.82,1e+05,3240,101,18.2,4,"Fully Paid"
"32184",25000,25000,16.19,10,828.35,130000,48787,93,18.3,19,"Fully Paid"
"27343",4000,4000,15.6,10,88.7,60000,28379,97,79.3,13,"Fully Paid"
"38441",25000,25000,7.99,10,836.23,78862,6530,94,21.8,7,"Fully Paid"
"27572",6000,6000,6.32,0,209.71,104000,21845,95,97.1,3,"Fully Paid"
"3944",6500,6500,10.49,0,211.73,115000,14525,96,45.8,15,"Fully Paid"
"9291",15000,15000,23.96,4,348.95,60000,12875,101,44.3,14,"Fully Paid"
"2621",10000,10000,2.59,4,307.04,80000,30407,99,7.4,8,"Fully Paid"
"37772",7000,12000,9.58,10,220.39,54996,9304,96,24.7,10,"Fully Paid"
"28958",1000,1000,8.91,5,31.29,38000,692,105,3.5,17,"Fully Paid"
"33839",4000,4000,22.93,2,131.88,46000,0,99,0,9,"Fully Paid"
"33623",3000,3000,5.82,10,104.96,40000,7285,94,23.5,12,"Fully Paid"
"36957",20000,20000,16.74,1,693.83,79000,13596,104,49.3,8,"Fully Paid"
"27399",14400,14400,10.27,3,489.44,44500,12188,104,54.9,13,"Fully Paid"
"10023",23075,23075,5.04,4,546.42,130000,19171,99,65.7,6,"Fully Paid"
"34086",15000,15000,12.18,7,492.06,54996,13095,85,19.6,11,"Fully Paid"
"19185",20000,20000,19.96,9,655.82,125000,39233,94,43.4,10,"Fully Paid"
"5553",1600,1600,4.75,2,49.13,28800,2655,97,4.3,5,"Fully Paid"
"16408",17000,17000,24.05,3,417.03,45000,4041,103,61.2,4,"Fully Paid"
"14805",5600,5600,6.45,2,147.41,35000,3063,101,85.1,6,"Fully Paid"
"34377",3000,3000,1.8,2,95.32,20000,2087,100,50.9,4,"Fully Paid"
"21705",4500,4500,9.05,10,135.72,63000,3904,90,5.9,14,"Fully Paid"
"35788",8000,8000,4.32,3,250.69,99996,5262,89,28.4,6,"Fully Paid"
"13751",8100,8100,23.56,7,286.74,115000,9059,92,26.6,27,"Fully Paid"
"804",7000,7000,21.66,3,170.08,75000,7623,93,88.6,10,"Fully Paid"
"28573",12000,12000,14.57,9,394.92,70000,2701,97,12.6,7,"Fully Paid"
"23609",5000,5000,1.55,0,168.43,42500,1793,106,71.7,4,"Fully Paid"
"400",8000,8000,16.34,10,281.1,50000,7634,99,81.2,10,"Fully Paid"
"4248",6000,6000,14.56,2,187.75,27040,2510,93,49.2,7,"Fully Paid"
"34999",11000,11000,14.97,1,374.84,44000,9900,105,60,7,"Fully Paid"
"10424",2500,2500,14.69,8,87.43,41500,497,87,99.4,4,"Fully Paid"
"27920",5000,5000,0.99,2,114.36,43616.75,0,101,0,7,"Fully Paid"
"37176",16000,16000,2.5,2,524.89,150000,23165,87,31.7,12,"Fully Paid"
"4754",3500,3500,9.9,3,117.41,44000,50,107,0.6,8,"Fully Paid"
"10731",4075,4075,23.41,6,122.91,45000,34103,96,78.9,6,"Fully Paid"
"23916",12000,12000,17.86,5,389.36,38160,12599,100,52.3,9,"Fully Paid"
"16954",12000,12000,0.5,1,415.46,130000,1146,93,6.4,5,"Fully Paid"
"16700",35000,35000,24.19,10,886.49,105600,28511,89,67.4,15,"Fully Paid"
"36174",5000,5000,11.12,4,160.48,45204,4637,102,12.6,14,"Fully Paid"
"25583",25000,25000,8.75,2,893.69,135000,23062,93,91.2,4,"Fully Paid"
"9107",12000,12000,8.36,10,378.76,54000,8422,81,47.1,12,"Fully Paid"
"2386",5000,5000,0.81,4,153.52,80000,830,103,3.4,8,"Fully Paid"
"5412",5000,5000,14.23,3,169.66,91200,6996,89,0.86,5,"Fully Paid"
"14570",10000,10000,0.71,5,315.63,84000,2652,96,15.2,5,"Fully Paid"
"25064",6225,6225,18.78,0,213.82,52000,6379,98,20.9,6,"Fully Paid"
"3394",12000,12000,13.79,5,299.98,65000,11137,100,57,9,"Fully Paid"
"5229",14500,14500,20.7,8,472.32,52000,7710,100,47.3,16,"Fully Paid"
"27951",15000,15000,21.87,4,371.34,90000,41489,93,91.2,9,"Fully Paid"
"5751",28000,28000,4.95,6,889.09,120000,34525,83,78.5,6,"Fully Paid"
"34211",2500,2500,6.49,9,78.05,42000,967,92,10.1,8,"Fully Paid"
"29693",7500,7500,15.79,8,233.32,74400,21033,96,56.1,8,"Fully Paid"
"32943",24250,24250,9.71,9,844.28,127500,31525,90,75.8,13,"Fully Paid"
"36743",4200,4200,22.09,10,138.66,32000,14166,100,81.4,8,"Fully Paid"
"20316",10000,10000,5.18,10,303.27,79000,44822,98,15.5,12,"Fully Paid"
"1765",15000,15000,16.45,1,533.08,59000,13498,97,55.5,7,"Fully Paid"
"19741",3000,3000,10.83,10,105.51,84996,6465,97,98,3,"Fully Paid"
"19663",13475,13475,15.11,4,322.56,41529.6,12037,100,57,8,"Fully Paid"
"32941",5875,5875,0.3,0,183.41,371000,6098,83,0,8,"Fully Paid"
"6996",10625,10625,22.52,10,323.38,73000,43014,96,48.7,12,"Fully Paid"
"31637",10000,10000,23.63,10,350.11,48000,10586,94,63.8,8,"Fully Paid"
"25720",4000,4000,22.15,0,99.82,58000,13585,96,85.4,8,"Fully Paid"
"18366",8400,8400,19.53,8,192.98,77000,19386,99,77.9,5,"Fully Paid"
"12183",3000,3000,22.1,9,97.64,55500,25373,93,84.3,7,"Fully Paid"
"33588",7500,7500,19.79,9,246.03,57000,4451,97,13.5,9,"Fully Paid"
"16471",11200,11200,17.77,0,261.6,25800,4655,98,43.5,10,"Fully Paid"
"28681",3000,3000,24.2,5,103.4,60000,5527,103,87.7,6,"Fully Paid"
"22035",5000,5000,8.93,5,159.59,48000,2,107,0.1,5,"Fully Paid"
"38010",12650,12650,21.96,4,416.19,40000,1727,96,8.9,13,"Fully Paid"
"19854",10000,10000,3.54,5,310.1,87000,6854,100,39.6,8,"Fully Paid"
"25577",4000,4000,20.08,4,125.13,72000,9652,104,55.2,6,"Fully Paid"
"26055",18000,18000,8.02,3,635.68,60000,10412,103,69.1,16,"Fully Paid"
"11881",7125,7125,23.99,2,243.49,37460,13710,104,67.5,10,"Fully Paid"
"26368",25000,25000,17.36,10,623.88,100100,39686,96,63.2,12,"Fully Paid"
"1678",12000,12000,14.18,10,400.99,55000,6934,97,78.8,6,"Fully Paid"
"36037",10000,10000,12.81,2,320.95,40000,7108,86,18.3,12,"Fully Paid"
"5974",28000,28000,14.97,4,720.81,72000,11477,96,83.8,7,"Fully Paid"
"34794",7000,7000,12.77,2,224.66,50000,13539,89,68.7,7,"Fully Paid"
"21948",5000,5000,9.24,1,170.21,76000,2106,100,75.2,5,"Fully Paid"
"9629",3200,3200,14.68,4,106.28,33600,2829,93,91.3,4,"Fully Paid"
"34208",7000,7000,12.69,1,218.54,108000,5872,85,21.4,6,"Fully Paid"
"18971",1200,1200,5.48,5,40.25,44664,2336,84,96.9,8,"Fully Paid"
"12375",6400,6400,13.37,2,202.01,35000,5102,102,53.1,11,"Fully Paid"
"22033",17000,25000,13.91,8,551.42,85000,30517,88,74.1,18,"Fully Paid"
"15039",9325,9325,15.97,7,207.39,32020,15771,97,57.1,5,"Fully Paid"
"3639",3500,3500,22.15,9,118.76,65000,22059,96,83.1,17,"Fully Paid"
"26403",8500,8500,20.9,8,203.16,50004,218,95,5.9,8,"Fully Paid"
"647",18000,18000,17.98,2,479.9,68000,11720,104,52.4,10,"Fully Paid"
"30874",25000,25000,9.92,1,902.94,53000,6588,102,57.3,10,"Fully Paid"
"14719",15000,15000,6.48,1,488.18,87000,12564,97,23.8,15,"Fully Paid"
"15180",7200,7200,2.42,3,222.29,34200,3622,91,16.6,4,"Fully Paid"
"30244",7000,7000,14.75,5,218.97,51000,7604,94,47.2,9,"Fully Paid"
"13750",4025,4025,8.66,3,101.1,60000,681,107,9,8,"Fully Paid"
"8780",7500,7500,5.54,4,226.2,80000,7125,100,16.8,9,"Fully Paid"
"8872",28000,28000,8.23,8,870.85,157000,70517,96,0.8,12,"Fully Paid"
"1140",9600,9600,18.69,9,337.32,47000,13340,96,87.2,13,"Fully Paid"
"19263",2000,2000,3.53,7,64.89,28872,1421,99,40.6,14,"Fully Paid"
"1056",21000,21000,19.79,2,741.31,63500,25800,103,65.2,16,"Fully Paid"
"284",23200,23200,27.99,3,725.94,65000,36381,101,47,10,"Fully Paid"
"10999",19050,25000,14.56,9,501.43,37506.48,14703,103,64.2,7,"Fully Paid"
"8482",5000,5000,27.73,10,155.51,45000,3259,95,54.3,9,"Fully Paid"
"17862",5000,5000,4.18,0,150.8,78000,732,102,2.9,7,"Fully Paid"
"29480",12000,12000,17.21,3,388.62,69805,10790,97,67,10,"Fully Paid"
"4341",16000,16000,8.58,7,508.06,36000,6939,104,63.7,5,"Fully Paid"
"2549",12000,12000,24.82,9,276.06,50000,20535,98,81.2,14,"Fully Paid"
"8706",6000,6000,16.78,4,195.27,145000,34353,94,47.3,10,"Fully Paid"
"20979",7750,7750,15.6,2,261.06,23000,1175,105,15.7,5,"Fully Paid"
"15508",4325,4325,24.47,0,141.83,23000,5675,105,97.8,6,"Fully Paid"
"10491",8000,8000,15.44,10,241.28,21600,1943,91,5.8,15,"Fully Paid"
"34427",5000,5000,15.55,0,164.85,105000,29097,101,79.7,9,"Fully Paid"
"18708",20000,20000,10.2,2,482.65,45050,4520,98,22.5,9,"Fully Paid"
"15164",6000,6000,23.64,8,142.08,38480,6081,96,75.1,7,"Fully Paid"
"14208",8800,8800,19.15,9,288.06,54000,4824,98,25.3,11,"Fully Paid"
"12435",3250,3250,2.31,4,106.39,39000,905,99,23.2,6,"Fully Paid"
"28641",13000,13000,7.45,10,423.27,52809.12,9895,88,81.4,8,"Fully Paid"
"17167",5000,5000,10.02,0,171.31,54860,4728,104,80.1,6,"Fully Paid"
"25173",10000,10000,7.16,3,311.11,84500,0,95,0,9,"Fully Paid"
"12342",13675,13675,26.53,1,425.32,90000,24961,96,31.5,21,"Fully Paid"
"14202",15000,15000,12.79,4,498.15,62400,10664,98,22.7,11,"Fully Paid"
"36157",2400,2400,12.38,0,82.52,25000,5285,105,60.1,10,"Fully Paid"
"13425",5000,5000,2.42,3,155.51,58500,3182,95,25.4,6,"Fully Paid"
"29040",4000,4000,6,5,136.42,70000,7196,96,78.2,6,"Fully Paid"
"26416",8000,8000,23.71,2,271.91,50000,12904,97,75.9,8,"Fully Paid"
"25238",7200,7200,19.15,3,246.01,70000,4991,95,35.9,9,"Fully Paid"
"34114",1450,1450,7.41,0,48.77,17000,0,104,0,5,"Fully Paid"
"26943",4000,4000,10.05,5,138.12,24000,3652,105,39.7,5,"Fully Paid"
"11846",25000,25000,2.5,3,549.69,45996,6966,101,20.5,12,"Fully Paid"
"32586",10000,10000,3.42,10,312.19,72000,11381,83,34.7,8,"Fully Paid"
"25072",15000,15000,13.3,5,489.31,106000,18545,99,25.6,15,"Fully Paid"
"14654",10000,10000,16.64,1,355.99,54000,5073,98,74.6,6,"Fully Paid"
"17946",22400,22400,4.61,10,506.01,110000,15465,90,33,6,"Fully Paid"
"37896",18000,18000,12.27,3,584.12,205000,77034,93,32.3,13,"Fully Paid"
"11304",10000,10000,14.17,3,325.45,72000,5770,90,61.4,7,"Fully Paid"
"11210",5000,5000,21.47,7,164.86,99996,26759,90,92,18,"Fully Paid"
"30061",1000,1000,22.61,6,31.11,25000,2630,101,14.9,13,"Fully Paid"
"824",5000,5000,6.1,3,136.06,46000,8376,107,91,7,"Fully Paid"
"32795",10000,10000,23.34,3,316.11,38000,9527,100,44.7,10,"Fully Paid"
"25833",20000,20000,5.64,0,648.92,110000,13034,94,48.3,9,"Fully Paid"
"10417",12000,12000,14.99,9,398.52,95000,5259,96,35.8,16,"Fully Paid"
"31196",12000,12000,2.51,4,402.8,96000,10051,100,41,6,"Fully Paid"
"12783",10000,10000,27.98,4,311.02,60000,10642,94,50.2,13,"Fully Paid"
"24484",12000,12000,2.21,10,294.7,50400,2240,94,60.5,3,"Fully Paid"
"11653",8450,8450,22.01,10,276.61,50000,9262,97,47.5,8,"Fully Paid"
"16739",5600,5600,24.25,3,181.68,56056,8428,102,86.1,12,"Fully Paid"
"33618",20000,20000,15.02,10,682.74,84996,27564,94,93.8,10,"Fully Paid"
"10700",18000,18000,7.86,2,585.81,115000,35680,93,66.7,9,"Fully Paid"
"17454",14400,14400,16.29,10,446.55,45000,857,102,3.3,6,"Fully Paid"
"18499",13200,13200,8.82,2,282.88,41500,8177,99,43.7,6,"Fully Paid"
"9621",1800,1800,11.3,10,55.99,55000,14911,88,75.3,8,"Fully Paid"
"10513",12000,12000,5.24,10,307.28,35700,2325,94,37.5,5,"Fully Paid"
"19044",10000,10000,18.19,10,311.8,64000,708,92,10.3,7,"Fully Paid"
"24563",19000,19000,23.24,7,465.28,53400,19971,101,80.9,8,"Fully Paid"
"22488",10200,15000,22.24,3,199.77,54000,3756,90,27.6,21,"Fully Paid"
"1354",18975,18975,24.53,5,501.78,45000,20659,101,97,8,"Fully Paid"
"30410",12000,12000,19.06,0,411.41,53000,4511,100,12.6,14,"Fully Paid"
"31190",4200,4200,19.83,7,129.24,40000,12308,78,22.8,20,"Fully Paid"
"24296",15000,15000,9.83,9,383.36,82000,10747,98,65.9,9,"Fully Paid"
"9890",17700,17700,10.34,10,583.6,65000,17712,94,57.1,16,"Fully Paid"
"37011",6500,6500,13.42,7,207.85,75000,29258,90,1.6,14,"Fully Paid"
"12384",15000,15000,10.09,3,491.01,120000,33884,98,77.4,14,"Fully Paid"
"19308",20000,20000,16.54,8,692.43,80000,11030,98,91.2,11,"Fully Paid"
"2364",12100,12100,11.5,3,302.48,50000,5579,105,33,8,"Fully Paid"
"4285",8000,8000,10.03,7,268.36,160000,7841,95,86.2,14,"Fully Paid"
"19515",13000,13000,13.92,4,331.89,58000,13207,104,52.8,11,"Fully Paid"
"15862",12000,12000,5.71,6,372.12,69600,0,99,0,5,"Fully Paid"
"3850",3250,3250,10.71,10,110.28,55000,5383,100,37.6,17,"Fully Paid"
"17822",25000,25000,20.31,10,608.22,70000,16065,87,36.2,17,"Fully Paid"
"19725",2000,2000,1,1,60.32,18000,908,96,5.7,5,"Fully Paid"
"1187",10000,10000,24.71,2,351.38,47500,13152,106,65.4,9,"Fully Paid"
"19907",4000,4000,13.62,4,129.77,154000,16220,91,61.6,15,"Fully Paid"
"2523",10000,10000,15.12,9,312.91,72000,6134,99,38.3,6,"Fully Paid"
"19222",10000,10000,22.11,4,326.16,108000,1538,100,49.6,4,"Fully Paid"
"35054",6400,6400,0,2,200.56,63996,0,98,0,13,"Fully Paid"
"18235",3000,3000,11.72,2,71.82,60000,1346,107,21.4,8,"Fully Paid"
"32681",3500,3500,5.36,3,119.48,30000,3162,102,73.5,5,"Fully Paid"
"27307",4000,4000,16.66,0,125.13,35000,6513,106,20.4,6,"Fully Paid"
"2001",14000,14000,13.83,2,444.55,31500,14371,99,70.8,6,"Fully Paid"
"20071",10000,10000,19.07,5,310.1,81996,41296,97,82.4,9,"Fully Paid"
"21486",1000,1000,12.82,10,30.67,70000,1893,96,49.8,4,"Fully Paid"
"37362",4875,7500,9.62,2,157.33,50000,11579,100,37,21,"Fully Paid"
"16031",6000,6000,17.58,10,195.7,57600,11047,92,46.4,17,"Fully Paid"
"1988",13200,13200,20.99,5,436.61,31500,8697,106,76.2,8,"Fully Paid"
"28188",6000,6000,15.77,2,208.61,69400,3686,97,44.4,9,"Fully Paid"
"7104",16500,16500,4.35,10,389.51,110000,4364,99,30.5,3,"Fully Paid"
"32107",8800,8800,16.35,4,304.88,46744.32,14099,102,77.5,10,"Fully Paid"
"18303",35000,35000,20.32,4,922.23,90300,53056,90,92,14,"Fully Paid"
"10281",7700,7700,10.45,7,232.24,65000,4092,97,6.8,8,"Fully Paid"
"34914",2700,2700,9.17,4,90.77,45000,2857,91,92.2,4,"Fully Paid"
"9989",7000,7000,7.16,1,232.47,87996,797,80,21,6,"Fully Paid"
"9678",10000,10000,9.15,0,276.82,40008,5616,98,98.5,3,"Fully Paid"
"12822",15000,15000,10.44,5,466.53,70000,1855,100,3.6,12,"Fully Paid"
"35648",10400,10400,5.41,10,332.25,85000,21244,94,24.7,14,"Fully Paid"
"32796",4500,4500,24.6,3,153.62,30000,1355,102,36.6,9,"Fully Paid"
"37093",6000,6000,22.78,10,204.11,44782.4,19270,85,97.3,12,"Fully Paid"
"18304",6000,6000,10.5,0,181.97,120000,38190,99,7.6,14,"Fully Paid"
"25199",9600,9600,13.25,7,221.44,120000,18148,96,45.9,10,"Fully Paid"
"31000",4000,4000,16.5,2,124.44,26400,3053,102,13.5,7,"Fully Paid"
"19007",16000,16000,20.81,8,373.71,50000,10899,84,50.9,7,"Fully Paid"
"30971",20000,20000,12.63,10,651.2,91000,19233,99,40.6,9,"Fully Paid"
"36953",1375,4000,21.09,6,45.81,60000,1361,98,11.1,12,"Fully Paid"
"11368",2000,2000,16.05,4,65.09,35000,2451,104,38.3,9,"Fully Paid"
"7060",10800,10800,17.3,6,282.66,65000,7786,105,87.5,6,"Fully Paid"
"20177",12000,12000,10.37,10,370.09,90000,10087,78,11.7,18,"Fully Paid"
"3838",16000,16000,6.6,3,500.65,480000,14818,95,33.8,8,"Fully Paid"
"29218",9000,9000,18.03,5,296.2,84000,9960,100,76.1,10,"Fully Paid"
"4159",14000,14000,21.91,0,335.05,42000,2907,103,18.1,9,"Fully Paid"
"3412",3500,3500,4.96,7,106.53,37980,10491,101,23.1,6,"Fully Paid"
"21564",15400,22000,18.28,8,474.88,91560,4893,100,12.7,15,"Fully Paid"
"2098",12000,12000,9.69,6,400.99,77000,24005,85,53.3,11,"Fully Paid"
"27569",2500,2500,9.49,10,82.87,18720,6785,93,90.5,5,"Fully Paid"
"28057",18550,18550,18.17,3,580.27,103000,10209,99,21.8,11,"Fully Paid"
"18773",15875,15875,22.1,2,380.01,36000,14289,101,82.1,5,"Fully Paid"
"22494",3900,3900,17.5,1,93.2,16800,1389,106,92.6,2,"Fully Paid"
"22801",6175,10000,11.04,1,189.38,45000,12421,104,76.2,8,"Fully Paid"
"34270",7500,7500,4.66,7,249.75,67000,2370,104,17.8,8,"Fully Paid"
"16922",2000,2000,13.84,7,45.57,69600,3167,90,59.8,7,"Fully Paid"
"13931",10000,10000,16.36,0,368.03,30000,4914,107,98.3,5,"Fully Paid"
"7121",8000,8000,18.85,2,271.45,75000,4852,104,31,24,"Fully Paid"
"26410",17000,17000,12.09,4,406.31,51000,7678,97,41.1,10,"Fully Paid"
"33464",3425,3425,11.8,1,114.06,77078.47,63543,93,90.2,8,"Fully Paid"
"21616",2250,2250,2.8,0,71.43,42000,3477,101,15.5,4,"Fully Paid"
"29294",10000,10000,10.62,10,309.4,72000,10612,89,15.5,12,"Fully Paid"
"15372",5200,5200,18.43,5,171.46,81120,41639,100,80.8,6,"Fully Paid"
"4586",28200,28200,25.09,5,660.12,54000,18587,95,47.4,21,"Fully Paid"
"18459",20000,20000,20.28,10,451.8,50000,4147,84,7.4,21,"Fully Paid"
"35326",5550,5550,16.95,7,185.74,24000,10192,101,92.7,7,"Fully Paid"
"23719",9600,9600,16.44,2,211.09,89000,35643,88,71.3,8,"Fully Paid"
"18108",10000,10000,1.68,1,310.1,50004,868,90,2.1,4,"Fully Paid"
"33091",8500,8500,19.06,2,284.47,49000,2280,102,53,11,"Fully Paid"
"4016",4925,4925,10.33,9,162.9,46000,9124,105,72.4,5,"Fully Paid"
"8392",12000,12000,13.74,2,263.86,60000,7581,100,79.8,5,"Fully Paid"
"34197",20000,20000,14.31,4,666,70000,2292,101,5.4,16,"Fully Paid"
"23863",12425,20000,14.38,2,275.51,55000,11501,94,41.1,11,"Fully Paid"
